Ticker Symbol,Period Ending,Cash and Cash Equivalents,Net Income,Total Assets,Total Equity,Total Liabilities,Total Revenue,Earnings Per Share
MRO,2012-12-31,684000000.0,1582000000.0,35306000000.0,18283000000.0,17023000000.0,11966000000.0,2.24
MTB,2012-12-31,8679887000.0,1029498000.0,83008803000.0,10202593000.0,72806210000.0,4608955000.0,7.57
MUR,2012-12-31,947316000.0,970876000.0,17522643000.0,8942035000.0,8580608000.0,4608563000.0,5.01
NDAQ,2012-12-31,582000000.0,352000000.0,9132000000.0,5208000000.0,3924000000.0,3023000000.0,2.09
NEE,2012-12-31,329000000.0,1911000000.0,64439000000.0,16068000000.0,48371000000.0,14256000000.0,4.59
NEM,2012-12-31,1561000000.0,1802000000.0,29650000000.0,13773000000.0,15877000000.0,9964000000.0,3.65
NFX,2012-12-31,88000000.0,-1184000000.0,7912000000.0,2780000000.0,5132000000.0,1562000000.0,-8.8
NOV,2012-12-31,3319000000.0,2491000000.0,31484000000.0,20239000000.0,11245000000.0,17194000000.0,5.86
NTRS,2012-12-31,61270200000.0,687300000.0,97463800000.0,7527000000.0,89936800000.0,4193500000.0,2.82
NUE,2012-12-31,1052862000.0,504619000.0,14152059000.0,7641571000.0,6510488000.0,19429273000.0,1.58
NWL,2012-12-31,183800000.0,401300000.0,6222000000.0,1996700000.0,4225300000.0,5508500000.0,1.38
O,2012-12-31,5248000.0,159152000.0,5429348000.0,2412794000.0,3016554000.0,484581000.0,0.86
OKE,2012-12-31,583618000.0,360619000.0,15855275000.0,2129609000.0,13725666000.0,10184121000.0,1.75
ORLY,2012-12-31,248128000.0,585746000.0,5749187000.0,2108307000.0,3640880000.0,6182184000.0,4.83
OXY,2012-12-31,1592000000.0,4598000000.0,64210000000.0,40016000000.0,24194000000.0,20100000000.0,5.67
PBCT,2012-12-31,5138700000.0,245300000.0,30324400000.0,5038800000.0,25285600000.0,1355300000.0,0.72
PBI,2012-12-31,913276000.0,445163000.0,7859891000.0,110631000.0,7749260000.0,3823713000.0,2.22
PCAR,2012-12-31,1272400000.0,1111600000.0,18627800000.0,5846900000.0,10707700000.0,16596800000.0,3.13
PCLN,2012-12-31,1542990000.0,1419566000.0,6569742000.0,3896975000.0,2672767000.0,5260956000.0,28.48
PEG,2012-12-31,379000000.0,1275000000.0,31725000000.0,10780000000.0,20945000000.0,9781000000.0,2.52
PFE,2012-12-31,10081000000.0,14570000000.0,185798000000.0,81260000000.0,104538000000.0,54657000000.0,1.96
PGR,2012-12-31,179100000.0,902300000.0,22694700000.0,6007000000.0,16687700000.0,17083900000.0,1.5
PKI,2012-12-30,171444000.0,69940000.0,3901762000.0,1939812000.0,1961950000.0,2105188000.0,0.61
PNC,2012-12-31,85046000000.0,3001000000.0,305107000000.0,39003000000.0,266104000000.0,16606000000.0,5.36
PNR,2012-12-31,261300000.0,-107200000.0,11882700000.0,6371100000.0,5511600000.0,4306800000.0,-0.84
